Weight totals Report

Mag_bus: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
Light1: [L] Sum of weights / gross weight is 17,000 kg (no limit specified)
Light2: [L] Sum of weights / gross weight is 17,000 kg (no limit specified)
Light3: [L] Sum of weights / gross weight is 17,000 kg (no limit specified)
Light4: [L] Sum of weights / gross weight is 17,000 kg (no limit specified)
Button1: [L] Sum of weights / gross weight is 5,000 kg (no limit specified)
Button2: [L] Sum of weights / gross weight is 5,000 kg (no limit specified)
Button3: [L] Sum of weights / gross weight is 5,000 kg (no limit specified)
Button4: [L] Sum of weights / gross weight is 5,000 kg (no limit specified)
processor1: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
processor2: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
processor3: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
processor4: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
ButtonProcessor1: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
ButtonProcessor2: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
ButtonProcessor3: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
ButtonProcessor4: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
ControlBoxProcessor: [L] Sum of weights / gross weight is 1,700 kg (no limit specified)
trafficLights_impl_Instance: [A] Sum of weights (105,000 kg) is below weight limit of 200,000 kg (47,5 % Weight slack)
